ACSI_SAV_OPE_MAGASIN_SAV_ID_MAGASIN_SAV;ACSI_SAV_OPE_MAGASIN_SAV_ID_LOCALISATION;ACSI_SAV_OPE_MAGASIN_SAV_CODE;ACSI_SAV_OPE_MAGASIN_SAV_LIBELLE;ACSI_SAV_OPE_LOCALISATION_ID_LOCALISATION;VILLE;REGION;PAYS;ACSI_SAV_OPE_REPARATEUR_ID_REPARATEUR;ACSI_SAV_OPE_REPARATEUR_ID_MAGASIN_SAV;ACSI_SAV_OPE_REPARATEUR_NOM;PRENOM;ID_REPARATION;ACSI_SAV_OPE_REPARATION_ID_PRODUIT;ACSI_SAV_OPE_REPARATION_ID_REPARATEUR;ACSI_SAV_OPE_REPARATION_ID_ETAT;ACSI_SAV_OPE_REPARATION_DATE_DEBUT;ACSI_SAV_OPE_REPARATION_DATE_FIN;TEMPS;ACSI_SAV_OPE_REPARATION_PRIX;ACSI_SAV_OPE_ETAT_ID_ETAT;ACSI_SAV_OPE_ETAT_CODE;ACSI_SAV_OPE_ETAT_LIBELLE;ACSI_SAV_OPE_GARANTIE_ID_GARANTIE;ACSI_SAV_OPE_GARANTIE_CODE;ACSI_SAV_OPE_GARANTIE_DATE_DEBUT;ACSI_SAV_OPE_GARANTIE_DATE_FIN;ACSI_SAV_OPE_PRODUIT_ID_PRODUIT;ID_CLIENT;ACSI_SAV_OPE_PRODUIT_ID_GARANTIE;ID_MAGASIN;ACSI_SAV_OPE_PRODUIT_ID_FOURNISSEUR;ACSI_SAV_OPE_PRODUIT_CODE;ACSI_SAV_OPE_PRODUIT_NOM;TYPE;ACSI_SAV_OPE_PRODUIT_PRIX;ACSI_SAV_OPE_FOURNISSEUR_ID_FOURNISSEUR;ACSI_SAV_OPE_FOURNISSEUR_CODE;RAISON_SOCIALE
1;1;M01;Magasin Hyper;1;Paris;Ile-de-France;France;1;1;Dupre;Nicole;1;1;1;1;12-02-2018;13-02-2018;7;0.0;1;E00;Réparé avec garantie;1;G01;15-03-2017;15-03-2019;1;1;1;1;1;P01;Mixeur2000;Mixeur;300.0;1;F00;Fournisseur SFG
10;10;M10;Electro Hyper;10;Rouen;Haute-Normandie;France;10;10;Lascoste;Claire;21;1;10;1;10-02-2018;11-02-2018;6;0.0;1;E00;Réparé avec garantie;1;G01;15-03-2017;15-03-2019;1;1;1;1;1;P01;Mixeur2000;Mixeur;300.0;1;F00;Fournisseur SFG
2;2;M02;Magasin Super;2;Limours;Ile-de-France;France;2;2;Bourbonnot;Marc;2;2;2;2;13-11-2017;13-11-2017;2;0.0;2;E01;Echangé avec garantie;2;G02;24-03-2016;24-03-2018;2;2;2;2;2;P02;DysonX6;Aspirateur;100.0;2;F01;Fournisseur PAT
9;9;M09;Electro Super;9;Nantes;Pays de la Loire;France;9;9;Pernault;Patrick;22;2;9;2;09-02-2018;09-02-2018;2;0.0;2;E01;Echangé avec garantie;2;G02;24-03-2016;24-03-2018;2;2;2;2;2;P02;DysonX6;Aspirateur;100.0;2;F01;Fournisseur PAT
3;3;M03;Magasin Mega;3;Orsay;Ile-de-France;France;3;3;Douin;Arnaud;3;3;3;1;24-05-2019;25-05-2019;6;0.0;1;E00;Réparé avec garantie;3;G03;23-06-2017;23-06-2019;3;3;3;3;3;P03;LV300;Lave-vaiselle;350.0;3;F02;Fournisseur SDF
8;8;M08;Electro Magasin;8;Bordeaux;Nouvelle-Aquitaine;France;8;8;Chasal;Bruno;23;3;8;3;08-08-2019;08-08-2019;3;40.0;3;E02;Réparé sans garantie;3;G03;23-06-2017;23-06-2019;3;3;3;3;3;P03;LV300;Lave-vaiselle;350.0;3;F02;Fournisseur SDF
7;7;M07;Super Magasin;7;Marseille;Provence-Alpes-Côtes dAzur;France;7;7;Patrick;Nicolas;24;4;7;1;28-04-2019;28-04-2019;1;0.0;1;E00;Réparé avec garantie;4;G04;22-05-2018;22-05-2020;4;4;4;4;4;P04;RBV6500;Robot-cuiseur;1000.0;4;F03;Fournisseur FBF
4;4;M04;Magasin Electro;4;Arpajon;Ile-de-France;France;4;4;Portal;Valentin;4;4;4;3;25-04-2018;26-04-2018;8;60.0;3;E02;Réparé sans garantie;4;G04;22-05-2018;22-05-2020;4;4;4;4;4;P04;RBV6500;Robot-cuiseur;1000.0;4;F03;Fournisseur FBF
5;5;M05;Magasin Electroménager;5;Rennes;Bretagne;France;5;5;Martins;Gilles;5;5;5;1;04-06-2018;04-06-2018;1;0.0;1;E00;Réparé avec garantie;5;G05;11-07-2016;11-07-2018;5;5;5;5;5;P05;Moulinex HM211;Batteur;20.0;5;F04;Fournisseur RYG
6;6;M06;Hyper Magasin;6;Lyon;Auvergne-Rhône-Alpes;France;6;6;Hugonet;Jean;25;5;6;3;25-08-2019;27-08-2019;8;90.0;3;E02;Réparé sans garantie;5;G05;11-07-2016;11-07-2018;5;5;5;5;5;P05;Moulinex HM211;Batteur;20.0;5;F04;Fournisseur RYG
